Full Name,Win Rate,Total Fight,Win,Lose,Draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Sarah Alpar,0.6,15,9,6,0,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4
Patricia Alujas,0.75,12,9,3,0,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",5.83,31%,9.25,44%,0,0%,0%,0
Kevin Aguilar,0.772727273,22,17,5,0,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40%,4.81,52%,0.16,16%,78%,0
Jailton Almeida,0.869565217,23,20,3,0,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",2.54,64%,0.74,40%,6.88,59%,75%,2.2
Tom Aaron,0.625,8,5,3,0,--,155 lbs.,--,,"Jul 13, 1978",0,0%,0,0%,0,0%,0%,0
Eddie Alvarez,0.828571429,35,29,6,0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Jessica Andrade,0.684210526,38,26,12,0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.62,50%,5.37,55%,2.37,55%,72%,0.3
Karl Amoussou,0.75,36,27,7,2,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0,0%,25%,1
Arman Ashimov,0.733333333,15,11,3,1,"5' 6""",125 lbs.,--,,"Jan 14, 1992",0,0%,0,0%,0,0%,0%,0
Ricardo Almeida,0.722222222,18,13,5,0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.2,61%,3.74,38%,31%,1.2
Javi Alanis,0,4,0,4,0,"5' 6""",135 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Marcus Aurelio,0.6875,32,22,10,0,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
Sam Alvey,0.647058824,51,33,18,1 (1 NC),"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1
Ricardo Arona,0.736842105,19,14,5,0,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
Erik Apple,0.769230769,13,10,3,0,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0,0%,0.54,81%,0,0%,0%,8.1
Israel Albuquerque,0,3,0,3,0,--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0,0%,0%,0
Omari Akhmedov,0.75,28,21,6,1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2
